Kategoriya,Sarlavha,Narx,Joy,Sana,Link
Elektronika,Кондитерский миксер. Холати яхши. Зо ишлиди. 3 фазада ишлиди. 120 та т,17 166 995 сум,Гулистан,Сегодня в 10:39,https://www.olx.uz/d/obyavlenie/konditerskiy-mikser-holati-yahshi-zo-ishlidi-3-fazada-ishlidi-120-ta-t-ID44srX.html
Elektronika,Морозильный ларь Ugur D 500 CEBN,7 121 124 сумДоговорная,"Ташкент, Чиланзарский район",Сегодня в 10:54,https://www.olx.uz/d/obyavlenie/morozilnyy-lar-ugur-d-500-cebn-ID3ZfOE.html
Elektronika,Продаётся Asic Bitmain A1,5 086 517 сумДоговорная,"Ташкент, Яккасарайский район",Сегодня в 10:53,https://www.olx.uz/d/obyavlenie/prodaetsya-asic-bitmain-a1-ID2rl8w.html
Elektronika,продам ножной массажер,299 900 сум,"Ташкент, Мирабадский район",Сегодня в 10:53,https://www.olx.uz/d/obyavlenie/prodam-nozhnoy-massazher-ID3Manm.html
Elektronika,"Телевизор Immer U43A2 в рассрочку 
Модель U43A2
2 пульта
SMART ТВ андр",1 525 955 сум,"Ташкент, Юнусабадский район",Сегодня в 10:53,https://www.olx.uz/d/obyavlenie/televizor-immer-u43a2-v-rassrochku-model-u43a22-pultasmart-tv-andr-ID44zms.html
Elektronika,"AIR-COOLER - Охлаждение воздуха, био охладитель",10 808 849 сумДоговорная,"Ташкент, Яккасарайский район",Сегодня в 10:53,https://www.olx.uz/d/obyavlenie/air-cooler-ohlazhdenie-vozduha-bio-ohladitel-ID2rzkh.html
Elektronika,PLAYSTATION 5 PRO  игры на заказ,10 173 034 сум,"Ташкент, Юнусабадский район",Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/playstation-5-pro-igry-na-zakaz-ID3REmv.html
Elektronika,Автомагнитола для автомобиля,55 000 сум,"Ташкент, Алмазарский район",Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/avtomagnitola-dlya-avtomobilya-ID42U62.html
Elektronika,Xod dog uchun izgara apparati,1 800 000 сум,Карши,Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/xod-dog-uchun-izgara-apparati-ID3Wgs8.html
Elektronika,Идеал Nintendo Switch Oled 64GB+2 игры,2 797 584 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/ideal-nintendo-switch-oled-64gb-2-igry-ID41KYN.html
Elektronika,Samsung galaxy on7+ (2016) sotiladi,600 000 сум,"Ташкент, Яккасарайский район",Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/samsung-galaxy-on7-2016-sotiladi-ID37Ne5.html
Elektronika,Hp Victus i5 11400H/RTX 3050/8/256,4 832 191 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/hp-victus-i5-11400h-rtx-3050-8-256-ID43jw3.html
Elektronika,iPhone 16e 128gb Simkarta,7 617 059 сум,"Ташкент, Юнусабадский район",09 июня 2025 г.,https://www.olx.uz/d/obyavlenie/iphone-16e-128gb-simkarta-ID3YEq3.html
Elektronika,"БЕПУЛ Доставка,Янги Караоке Колонкалар ZQS4239(42см)+Микрофон. kalonka",240 000 сум,"Ташкент, Алмазарский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/bepul-dostavka-yangi-karaoke-kolonkalar-zqs423942sm-mikrofon-kalonka-ID3X7GZ.html
Elektronika,Моноблок Lenovo 27IRH9 / i5-13420H / 8GB DDR5 / 512GB (Перечислением),8 400 000 сумДоговорная,"Ташкент, Яккасарайский район",12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/monoblok-lenovo-27irh9-i5-13420h-8gb-ddr5-512gb-perechisleniem-ID3Mqu3.html
Elektronika,Asus Vivobook i5 1240P/8/256,3 179 073 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/asus-vivobook-i5-1240p-8-256-ID43DUu.html
Elektronika,Срочно Apple Vision Pro 512GB LL/A,22 889 326 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/srochno-apple-vision-pro-512gb-ll-a-ID43P08.html
Elektronika,Redmi pro 6     3/32 gb,600 000 сумДоговорная,Келес,Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/redmi-pro-6-3-32-gb-ID3zZ8S.html
Elektronika,Переносной хард Ssd m2 512 gb,500 000 сум,Мирабад,Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/perenosnoy-hard-ssd-m2-512-gb-ID44zmb.html
Elektronika,Телевизор SAMSUNG 32,890 000 сум,"Ташкент, Юнусабадский район",Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/televizor-samsung-32-ID44zm9.html
Elektronika,Xiaomi 10A garantiya,400 000 сум,Кува,Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/xiaomi-10a-garantiya-ID3WgrK.html
Elektronika,Вытяжка для кухни выдвыжной,240 000 сум,"Ташкент, Чиланзарский район",Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/vytyazhka-dlya-kuhni-vydvyzhnoy-ID3IVg2.html
Elektronika,кофейный набор в подарок,1 850 000 сум,"Ташкент, Чиланзарский район",Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/kofeynyy-nabor-v-podarok-ID42947.html
Elektronika,Iphone 12 pro 128 gb,3 814 888 сумДоговорная,Самарканд,Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/iphone-12-pro-128-gb-ID44zm8.html
Elektronika,Холодильник Midea retro мини,1 653 118 сум,"Ташкент, Яккасарайский район",Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/holodilnik-midea-retro-mini-ID41KDC.html
Elektronika,RTX 4070 ti GIGABYTE OC i7 13700-DDR5 ram 32gb + подарок второй моник,33 062 360 сумДоговорная,Паркент,Сегодня в 09:31,https://www.olx.uz/d/obyavlenie/rtx-4070-ti-gigabyte-oc-i7-13700-ddr5-ram-32gb-podarok-vtoroy-monik-ID43RbL.html
Elektronika,"Suv filtrl, osmos, фильтр воды, осмос, filter, сув филтр, сув филтер",13 987 922 сум,Шаргунь,13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/suv-filtrl-osmos-filtr-vody-osmos-filter-suv-filtr-suv-filter-ID40i7L.html
Elektronika,"Suv filtrl, osmos, фильтр воды, осмос, filter, сув филтр, сув филтер",49 593 540 сум,Ургут,12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/suv-filtrl-osmos-filtr-vody-osmos-filter-suv-filtr-suv-filter-ID40lPV.html
Elektronika,Тикув машинаси рашма янги.,5 000 000 сум,Келес,Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/tikuv-mashinasi-rashma-yangi-ID3Capb.html
Elektronika,Измеритель шума ВШВ-003 производство СССР,400 000 сумДоговорная,"Ташкент, Чиланзарский район",Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/izmeritel-shuma-vshv-003-proizvodstvo-sssr-ID3O2S9.html
Elektronika,iPhone 16 Pro Max 256GB halol nasiya savdoga sotiladi!,14 878 062 сумДоговорная,"Ташкент, Юнусабадский район",Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/iphone-16-pro-max-256gb-halol-nasiya-savdoga-sotiladi-ID419yn.html
Elektronika,Xiaomi Redmi Note 13,2 288 933 сум,Карши,Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/xiaomi-redmi-note-13-ID3Tzuq.html
Elektronika,Кондиционер AUX (12) Inverter+UF лампа Model: ASW-H12A4/CAR  Доставка,4 069 214 сумДоговорная,"Ташкент, Юнусабадский район",Сегодня в 10:53,https://www.olx.uz/d/obyavlenie/konditsioner-aux-12-inverter-uf-lampa-model-asw-h12a4-car-dostavka-ID417hM.html
Elektronika,Осевой вентилятор.,250 000 сумДоговорная,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:53,https://www.olx.uz/d/obyavlenie/osevoy-ventilyator-ID3L69k.html
Elektronika,Кондиционер AUX есть все модели оптом склад +Доставка по городу,3 802 171 сумДоговорная,"Ташкент, Яшнабадский район",Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/konditsioner-aux-est-vse-modeli-optom-sklad-dostavka-po-gorodu-ID43bMM.html
Elektronika,Кондиционер  ситроник сотилади,1 700 000 сумДоговорная,Самарканд,Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/konditsioner-sitronik-sotiladi-ID3WM6D.html
Elektronika,"Винтеляторы оптом обогреватели в Ташкенте, доставка бесплатно круглосу",1 500 000 сум,Учтепа,Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/vintelyatory-optom-obogrevateli-v-tashkente-dostavka-besplatno-kruglosu-ID3sSFv.html
Elektronika,Epson L3210 sotiladi,1 100 000 сумДоговорная,Ургенч,Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/epson-l3210-sotiladi-ID44zlY.html
Elektronika,Индикатор,3 179 073 сумДоговорная,Коканд,13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/indikator-ID3vEr7.html
Elektronika,EZVIZ камера CS-H3C беспроводная Wi-Fi,445 070 сумДоговорная,"Ташкент, Чиланзарский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/ezviz-kamera-cs-h3c-besprovodnaya-wi-fi-ID3PBKB.html
Elektronika,Диктофон 20 соат запис қилади,400 000 сум,"Ташкент, Бектемирский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/diktofon-20-soat-zapis-iladi-ID2IW8O.html
Elektronika,Телефон Xiomi Poco C 65/128,1 000 000 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/telefon-xiomi-poco-c-65-128-ID44zlX.html
Elektronika,2 ta tarozi yangi sotiladi,120 000 сум,Галаасия,Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/2-ta-tarozi-yangi-sotiladi-ID44zlW.html
Elektronika,Kompyuter LG sotiladi,300 000 сум,Вабкент,Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/kompyuter-lg-sotiladi-ID44zjt.html
Elektronika,Rassrochka Iphone 15 pro Max,15 259 551 сум,"Ташкент, Шайхантахурский район",Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/rassrochka-iphone-15-pro-max-ID3CAnd.html
Elektronika,Кондиционер сотилади Samarqandda,1 907 444 сумДоговорная,Самарканд,Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/konditsioner-sotiladi-samarqandda-ID3YOf6.html
Elektronika,Стиральный машина HOFMANN 8 кг WM814SBG-V24/HF,4 768 610 сум,"Ташкент, Юнусабадский район",Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/stiralnyy-mashina-hofmann-8-kg-wm814sbg-v24-hf-ID3PYyu.html
Elektronika,Redmi K40 Gaming srochniy sotiladi,1 900 000 сумДоговорная,Ангор,Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/redmi-k40-gaming-srochniy-sotiladi-ID446wG.html
Elektronika,"Интерактив панеллар 75"" | Опт нархлар 780$дан бошлаб | Кафолат,омборда",9 918 708 сум,"Ташкент, Сергелийский район",Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/interaktiv-panellar-75-opt-narhlar-780-dan-boshlab-kafolat-omborda-ID44zlL.html
Elektronika,Телевизор Premier 32/86 Smart Voice 4K UHD Доставка бонус(Распродажа),1 411 508 сумДоговорная,"Ташкент, Сергелийский район",Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/televizor-premier-32-86-smart-voice-4k-uhd-dostavka-bonusrasprodazha-ID43d8H.html
Elektronika,Встраиваемая посудомоечная машина Immer DW4501BI-Inox,4 323 539 сум,"Ташкент, Юнусабадский район",Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/vstraivaemaya-posudomoechnaya-mashina-immer-dw4501bi-inox-ID43hNQ.html
Elektronika,HUAWEI Watch GT 5 Pro • Доставка Бесплатно,3 152 750 сум,"Ташкент, Юнусабадский район",11 июня 2025 г.,https://www.olx.uz/d/obyavlenie/huawei-watch-gt-5-pro-dostavka-besplatno-ID3TQAJ.html
Elektronika,IP kamera komplekt optom narxlarda TVT kamera 2MP | ИП видеонаблюдение,1 449 657 сум,"Ташкент, Шайхантахурский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/ip-kamera-komplekt-optom-narxlarda-tvt-kamera-2mp-ip-videonablyudenie-ID3YyXY.html
Elektronika,Телевезор Вистел 43,2 400 000 сум,Навои,12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/televezor-vistel-43-ID43bsU.html
Elektronika,Raelme i9 garntiya,2 200 000 сумДоговорная,Хива,Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/raelme-i9-garntiya-ID3n8iJ.html
Elektronika,Elektrodvigatel 13 kVt sotiladi,7 000 000 сумДоговорная,Нурата,Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/elektrodvigatel-13-kvt-sotiladi-ID3Kih5.html
Elektronika,Акция стиральная машина автомат доставка,3 115 492 сумДоговорная,Самарканд,Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/aktsiya-stiralnaya-mashina-avtomat-dostavka-ID3ai61.html
Elektronika,продаём телевизор SONY,200 000 сум,Коксарай,Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/prodaem-televizor-sony-ID3CaoY.html
Elektronika,Ноутбук ASUS ROG Flow GV610R Ryzen 7/16Gb DDR5/1TB SSD/16QHD/RTX3050Ti,11 444 663 сум,"Ташкент, Юнусабадский район",Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/noutbuk-asus-rog-flow-gv610r-ryzen-7-16gb-ddr5-1tb-ssd-16qhd-rtx3050ti-ID3KigN.html
Elektronika,Сушильная машина LG 9 кг модель: DC90V5V9S,9 600 801 сум,"Ташкент, Юнусабадский район",Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/sushilnaya-mashina-lg-9-kg-model-dc90v5v9s-ID37HDm.html
Elektronika,Халденик сотилади,1 525 955 сумДоговорная,Бухара,Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/haldenik-sotiladi-ID422E9.html
Elektronika,Морозильник IMMER Gigant 718 Литр,7 820 520 сум,"Ташкент, Юнусабадский район",Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/morozilnik-immer-gigant-718-litr-ID2Ohna.html
Elektronika,new (09) Кондиционер HYUNDAI Smart DC INVERTER Premium (9000BTU),4 387 121 сумДоговорная,"Ташкент, Шайхантахурский район",Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/new-09-konditsioner-hyundai-smart-dc-inverter-premium-9000btu-ID3IqEf.html
Elektronika,Скидка!Доставка! Hdmi Kvm extender 120 M / usb port,559 517 сум,"Ташкент, Юнусабадский район",Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/skidka-dostavka-hdmi-kvm-extender-120-m-usb-port-ID2RYca.html
Elektronika,Sitronic konditsaner 24 talik,4 000 000 сум,Ромитан,12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/sitronic-konditsaner-24-talik-ID43kCb.html
Elektronika,i5 / 128 ssd/ 8gb Кейсы для дома и офиса. Подходят для работы и учебы.,1 080 885 сум,Фергана,12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/i5-128-ssd-8gb-keysy-dlya-doma-i-ofisa-podhodyat-dlya-raboty-i-ucheby-ID2fDAN.html
Elektronika,СКИДКА! Logitech G PRO X 2 Wireless Беспроводные Наушники  до 50часов,3 496 980 сум,"Ташкент, Яккасарайский район",27 мая 2025 г.,https://www.olx.uz/d/obyavlenie/skidka-logitech-g-pro-x-2-wireless-besprovodnye-naushniki-do-50chasov-ID35ivr.html
Elektronika,Кондиционер Мобильный ZANUSSI ZACM-12NY/N1 Доставка бесплатно,4 514 284 сумДоговорная,"Ташкент, Шайхантахурский район",Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/konditsioner-mobilnyy-zanussi-zacm-12ny-n1-dostavka-besplatno-ID42ovF.html
Elektronika,Газовая плита Gefest Модернизированная Model: ПГ6300-03 S046T  Hi-tech,6 103 820 сумДоговорная,"Ташкент, Шайхантахурский район",Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/gazovaya-plita-gefest-modernizirovannaya-model-pg6300-03-s046t-hi-tech-ID3U9TZ.html
Elektronika,Goodwell вытяжка Модернизированного типа Модель : GWH6460BL Доставка,2 352 514 сумДоговорная,"Ташкент, Юнусабадский район",Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/goodwell-vytyazhka-modernizirovannogo-tipa-model-gwh6460bl-dostavka-ID3B1Td.html
Elektronika,"Льдогенератор бытовой Gemlux для дома и офиса, доставка бесплатно.",890 140 сум,"Ташкент, Сергелийский район",Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/ldogenerator-bytovoy-gemlux-dlya-doma-i-ofisa-dostavka-besplatno-ID44zlH.html
Elektronika,Stabilizator Andeli va Stabil brendi,2 861 166 сум,"Ташкент, Юнусабадский район",Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/stabilizator-andeli-va-stabil-brendi-ID3J2zr.html
Elektronika,Galaxy note 9 в идеальном состоянии,1 271 629 сумДоговорная,Самарканд,Сегодня в 10:50,https://www.olx.uz/d/obyavlenie/galaxy-note-9-v-idealnom-sostoyanii-ID44zlD.html
Elektronika,Samsung A10s (32GB),700 000 сумДоговорная,"Ташкент, Сергелийский район",Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/samsung-a10s-32gb-ID3XkcA.html
Elektronika,Mercury kompyuterga tok yetkazib beruvchi qurilma,350 000 сумДоговорная,Самарканд,Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/mercury-kompyuterga-tok-yetkazib-beruvchi-qurilma-ID2YEvs.html
Elektronika,PTZ контроллер - джойстик AGL-50-NDI-IP,8 250 000 сум,"Ташкент, Юнусабадский район",Сегодня в 10:53,https://www.olx.uz/d/obyavlenie/ptz-kontroller-dzhoystik-agl-50-ndi-ip-ID3kG1s.html
Elektronika,Epson M3170 sotilmoqda.,1 750 000 сумДоговорная,Чилек,Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/epson-m3170-sotilmoqda-ID3Zi8n.html
Elektronika,Продается новый Hollyland Lark m2,1 780 281 сум,"Ташкент, Юнусабадский район",11 июня 2025 г.,https://www.olx.uz/d/obyavlenie/prodaetsya-novyy-hollyland-lark-m2-ID43JYK.html
Elektronika,Дефлектор защитный кондиционер,150 000 сум,"Ташкент, Юнусабадский район",11 июня 2025 г.,https://www.olx.uz/d/obyavlenie/deflektor-zaschitnyy-konditsioner-ID3EQVv.html
Elektronika,Samsung M35 5G 6/128,1 600 000 сум,Самарканд,12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/samsung-m35-5g-6-128-ID43LTC.html
Elektronika,Колонки Microlab solo 6S АКУСТИЧЕСКАЯ СИСТЕМА,3 000 000 сумДоговорная,"Ташкент, Юнусабадский район",Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/kolonki-microlab-solo-6s-akusticheskaya-sistema-ID3DAhT.html
Elektronika,Спикерфон AGL09B,14 670 000 сумДоговорная,"Ташкент, Юнусабадский район",Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/spikerfon-agl09b-ID3yOsE.html
Elektronika,Oukitel wp 17 udarga bardoshli,850 000 сум,Каттакурган,Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/oukitel-wp-17-udarga-bardoshli-ID44zlz.html
Elektronika,PTZ-камера VHD20N,6 000 000 сумДоговорная,"Ташкент, Юнусабадский район",Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/ptz-kamera-vhd20n-ID3yOiu.html
Elektronika,Комплект клавиатура и мышка с rgb подсветкой,299 000 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/komplekt-klaviatura-i-myshka-s-rgb-podsvetkoy-ID3Zfad.html
Elektronika,Подвесной потолочный двусторонний ЖК дисплей AGL-43P-WB7,12 000 000 сум,"Ташкент, Юнусабадский район",Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/podvesnoy-potolochnyy-dvustoronniy-zhk-displey-agl-43p-wb7-ID3KtyB.html
Elektronika,Jingda-18 multifuncsional terapevtik apparat,1 650 000 сум,Самарканд,Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/jingda-18-multifuncsional-terapevtik-apparat-ID2YEu3.html
Elektronika,Premier marazilnik,3 179 073 сум,Эшангузар,Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/premier-marazilnik-ID430uE.html
Elektronika,Vitirinar haladenlik,11 700 000 сум,Самарканд,Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/vitirinar-haladenlik-ID3Xkca.html
Elektronika,Usilitel svyazi repitor,890 140 сум,"Ташкент, Сергелийский район",Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/usilitel-svyazi-repitor-ID3Zi8c.html
Elektronika,Ддс Биоэнергомассажер (русский язык),4 500 000 сумДоговорная,"Ташкент, Сергелийский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/dds-bioenergomassazher-russkiy-yazyk-ID3YsHj.html
Elektronika,"PS5,PS4 игра The Last of Us Part II Remasted (Запечатанные)",572 233 сум,"Ташкент, Мирабадский район",07 июня 2025 г.,https://www.olx.uz/d/obyavlenie/ps5-ps4-igra-the-last-of-us-part-ii-remasted-zapechatannye-ID3YQnk.html
Elektronika,Пульты для шлагбаума работаюший на 433 и 315 мгц универсальные,30 000 сум,"Ташкент, Учтепинский район",11 июня 2025 г.,https://www.olx.uz/d/obyavlenie/pulty-dlya-shlagbauma-rabotayushiy-na-433-i-315-mgts-universalnye-ID2woAI.html
Elektronika,Маразилка сотилади,2 034 607 сумДоговорная,Бухара,Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/marazilka-sotiladi-ID3SOxT.html
Elektronika,Ветрина холодильник заводской холати зур  ишлаши аьло  хаммаси заводск,3 500 000 сум,"Ташкент, Чиланзарский район",Сегодня в 10:52,https://www.olx.uz/d/obyavlenie/vetrina-holodilnik-zavodskoy-holati-zur-ishlashi-alo-hammasi-zavodsk-ID40YBN.html
Elektronika,Tukuv Moshinkalar tuzatamiz,190 744 сум,Чиназ,Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/tukuv-moshinkalar-tuzatamiz-ID3zZ86.html
Elektronika,Блок управления микрофонный системы проводной BLS-351M,5 500 000 сум,"Ташкент, Юнусабадский район",Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/blok-upravleniya-mikrofonnyy-sistemy-provodnoy-bls-351m-ID3oRnY.html
Elektronika,Logitech Brio 500 Full HD 1080p,700 000 сум,"Ташкент, Яшнабадский район",Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/logitech-brio-500-full-hd-1080p-ID44zlq.html
Elektronika,Указка презентер logitech r400,400 000 сумДоговорная,"Ташкент, Шайхантахурский район",Сегодня в 10:51,https://www.olx.uz/d/obyavlenie/ukazka-prezenter-logitech-r400-ID3tfPc.html
Elektronika,ПОРТАТИВНЫЙ Цифровой Осциллограф-Мультиметр UNI-T UTD1102C,8 901 405 сум,Фергана,Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/portativnyy-tsifrovoy-ostsillograf-multimetr-uni-t-utd1102c-IDXsjA.html
Elektronika,Принтер HP продаётся,2 000 000 сум,Келес,Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/printer-hp-prodaetsya-ID3Xkcg.html
Elektronika,Бюджетная видеокарта RX550 2GB,400 000 сумДоговорная,Самарканд,Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/byudzhetnaya-videokarta-rx550-2gb-ID44wxJ.html
Elektronika,Продам советские осциллограф Н3017,400 000 сумДоговорная,"Ташкент, Юнусабадский район",Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/prodam-sovetskie-ostsillograf-n3017-ID3WgqE.html
Elektronika,Artel 43K5500 Smart android,2 861 166 сум,"Ташкент, Юнусабадский район",12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/artel-43k5500-smart-android-ID3pVrI.html
Elektronika,beam 350 sotiladi 6 ta bor kelishamiz,2 861 166 сум,Акташ,21 мая 2025 г.,https://www.olx.uz/d/obyavlenie/beam-350-sotiladi-6-ta-bor-kelishamiz-ID3OCnS.html
Elektronika,EZVIZ wi-fi камеры беспроводные,320 000 сумДоговорная,"Ташкент, Чиланзарский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/ezviz-wi-fi-kamery-besprovodnye-ID3NEG5.html
Elektronika,Продаётся как машина daewoo,600 000 сум,"Ташкент, Чиланзарский район",Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/prodaetsya-kak-mashina-daewoo-ID44zlo.html
Elektronika,Новый! Apple iPhone 15 Pro • Доставка Бесплатно,12 442 190 сум,"Ташкент, Яккасарайский район",Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/novyy-apple-iphone-15-pro-dostavka-besplatno-ID3MaOr.html
Elektronika,Селфи палка xiaomi 1.6 метра селфи трипод штатив селфи палка,519 000 сум,"Ташкент, Юнусабадский район",Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/selfi-palka-xiaomi-1-6-metra-selfi-tripod-shtativ-selfi-palka-ID3UxNx.html
Elektronika,Продам радиотелефон,35 000 сум,"Ташкент, Чиланзарский район",Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/prodam-radiotelefon-ID3REl3.html
Elektronika,Chek manitor printer wf,2 900 000 сумДоговорная,Андижан,Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/chek-manitor-printer-wf-ID3zZ7r.html
Elektronika,Mirzayev abdusamad,1 907 444 сумДоговорная,Янгиюль,Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/mirzayev-abdusamad-ID3XkbN.html
Elektronika,Redmi note 7  (Neptune black),700 000 сумДоговорная,"Ташкент, Шайхантахурский район",Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/redmi-note-7-neptune-black-ID3Caoc.html
Elektronika,Tecno Spark go 2023,1 335 211 сумДоговорная,Янгирабат,Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/tecno-spark-go-2023-ID3n8hI.html
Elektronika,Морозильник Midea модел: 345 01,4 069 214 сум,"Ташкент, Юнусабадский район",Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/morozilnik-midea-model-345-01-ID2rg7H.html
Elektronika,Iphone 13 pro ideal,5 722 332 сумДоговорная,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/iphone-13-pro-ideal-ID3XkbU.html
Elektronika,Iphone zaryatchik galofka va kabeli bilan,290 000 сум,Хива,12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/iphone-zaryatchik-galofka-va-kabeli-bilan-ID44k5J.html
Elektronika,Diqqat!!! BM 800 studiya  mikrofoni sotiladi.,1 700 000 сумДоговорная,Алтыарык,13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/diqqat-bm-800-studiya-mikrofoni-sotiladi-ID42jzz.html
Elektronika,Машина тестораскаточная лагман аппарат logʻmon lagʻmon lagmon aparat,2 288 933 сумДоговорная,Самарканд,Сегодня в 08:43,https://www.olx.uz/d/obyavlenie/mashina-testoraskatochnaya-lagman-apparat-logmon-lagmon-lagmon-aparat-ID3OuXt.html
Elektronika,Стабилизатор напряжения Андели ва Стабил,2 900 000 сум,"Ташкент, Чиланзарский район",Сегодня в 10:49,https://www.olx.uz/d/obyavlenie/stabilizator-napryazheniya-andeli-va-stabil-ID3IY1I.html
Elektronika,Продам два вайфай роутера,100 000 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:48,https://www.olx.uz/d/obyavlenie/prodam-dva-vayfay-routera-ID44zle.html
